,current_focus_point,time
33408,7,1710159905.0635154
33409,7,1710159905.0648024
33410,7,1710159905.0660794
33411,7,1710159905.0673683
33412,7,1710159905.0684664
33413,7,1710159905.0697265
33414,7,1710159905.0709343
33415,7,1710159905.0721812
33416,7,1710159905.0734248
33417,7,1710159905.0746608
33418,7,1710159905.0759244
33419,7,1710159905.0771854
33420,7,1710159905.0784676
33421,7,1710159905.079456
33422,7,1710159905.080762
33423,7,1710159905.0819347
33424,7,1710159905.0831733
33425,7,1710159905.0841906
33426,7,1710159905.0854776
33427,7,1710159905.0869796
33428,7,1710159905.0882876
33429,7,1710159905.0896292
33430,7,1710159905.0908546
33431,7,1710159905.092082
33432,7,1710159905.0933568
33433,7,1710159905.0946069
33434,7,1710159905.095826
33435,7,1710159905.097173
33436,7,1710159905.098443
33437,7,1710159905.0997012
33438,7,1710159905.1009393
33439,7,1710159905.1021292
33440,7,1710159905.103404
33441,7,1710159905.1046288
33442,7,1710159905.1058307
33443,7,1710159905.1070318
33444,7,1710159905.1083314
33445,7,1710159905.1095638
33446,7,1710159905.110806
33447,7,1710159905.1120808
33448,7,1710159905.113193
33449,7,1710159905.1142092
33450,7,1710159905.1153789
33451,7,1710159905.1164901
33452,7,1710159905.1178002
33453,7,1710159905.118802
33454,7,1710159905.1197684
33455,7,1710159905.120888
33456,7,1710159905.1218224
33457,7,1710159905.1228652
33458,7,1710159905.1237075
33459,7,1710159905.1249802
33460,7,1710159905.1261373
33461,7,1710159905.1274152
33462,7,1710159905.1286156
33463,7,1710159905.129675
33464,7,1710159905.130903
33465,7,1710159905.1319344
33466,7,1710159905.1332004
33467,7,1710159905.1343434
33468,7,1710159905.1356146
33469,7,1710159905.1368387
33470,7,1710159905.1380267
33471,7,1710159905.1391098
33472,7,1710159905.1404028
33473,7,1710159905.141693
33474,7,1710159905.1429086
33475,7,1710159905.144193
33476,7,1710159905.1454854
33477,7,1710159905.1468046
33478,7,1710159905.1481102
33479,7,1710159905.1493993
33480,7,1710159905.1506438
33481,7,1710159905.1517472
33482,7,1710159905.1529424
33483,7,1710159905.154415
33484,7,1710159905.1556783
33485,7,1710159905.1569457
33486,7,1710159905.158167
33487,7,1710159905.1594076
33488,7,1710159905.1606827
33489,7,1710159905.1619692
33490,7,1710159905.163157
33491,7,1710159905.1644568
33492,7,1710159905.1657562
33493,7,1710159905.16697
33494,7,1710159905.1680179
33495,7,1710159905.1689827
33496,7,1710159905.170164
33497,7,1710159905.1714392
33498,7,1710159905.1726592
33499,7,1710159905.173818
33500,7,1710159905.175038
33501,7,1710159905.1763184
33502,7,1710159905.177501
33503,7,1710159905.1787212
33504,7,1710159905.1800525
33505,7,1710159905.1813517
33506,7,1710159905.182527
33507,7,1710159905.1837742
33508,7,1710159905.1846611
33509,7,1710159905.185856
33510,7,1710159905.1869686
33511,7,1710159905.1881373
33512,7,1710159905.1893408
33513,7,1710159905.1904564
33514,7,1710159905.19177
33515,7,1710159905.1930606
33516,7,1710159905.1942525
33517,7,1710159905.195544
33518,7,1710159905.1968813
33519,7,1710159905.1981792
33520,7,1710159905.199423
33521,7,1710159905.2015963
33522,7,1710159905.2028272
33523,7,1710159905.204051
33524,7,1710159905.2051606
33525,7,1710159905.2064128
33526,7,1710159905.2076836
33527,7,1710159905.208971
33528,7,1710159905.2101793
33529,7,1710159905.2114358
33530,7,1710159905.2125545
33531,7,1710159905.2138758
33532,7,1710159905.2148197
33533,7,1710159905.215813
